"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,64.86,956,1.1370292887029,1087,7,2,actions:onsite_conversion.lead_grouped,32.43,67.84518828,9.26571429,2,2,,,
2020-05-16,2020-05-16,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,98.82,879,1.1433447098976,1005,11,2,actions:onsite_conversion.lead_grouped,49.41,112.42320819,8.98363636,2,2,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.08,2,1,2,,,,,40,,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,2.75,33,1.1212121212121,37,,,,,83.33333333,,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,6.69,42,1.1666666666667,49,1,,,,159.28571429,6.69,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.15,3,1.3333333333333,4,,,,,50,,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,22.3,120,1.0833333333333,130,1,,,,185.83333333,22.3,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,21.81,131,1.0916030534351,143,4,,,,166.48854962,5.4525,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,2.14,26,1.1538461538462,30,,,,,82.30769231,,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,40.15,334,1.1017964071856,368,5,2,actions:onsite_conversion.lead_grouped,20.075,120.20958084,8.03,2,2,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,50.93,314,1.1305732484076,355,7,1,actions:onsite_conversion.lead_grouped,50.93,162.19745223,7.27571429,1,1,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.68,27,1,27,,,,,62.22222222,,,,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,74.77,1223,1.1201962387572,1370,9,2,actions:onsite_conversion.lead_grouped,37.385,61.13654947,8.30777778,2,2,,,
2020-05-15,2020-05-15,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,90.69,1126,1.1172291296625,1258,10,4,actions:onsite_conversion.lead_grouped,22.6725,80.54174067,9.069,4,4,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.4,1,1,1,,,,,400,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,2.42,47,1.1063829787234,52,,,,,51.4893617,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,8.3,63,1.047619047619,66,2,,,,131.74603175,4.15,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.22,6,1,6,,,,,36.66666667,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,20.72,157,1.1019108280255,173,2,1,actions:onsite_conversion.lead_grouped,20.72,131.97452229,10.36,1,1,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,17.75,123,1.0650406504065,131,,,,,144.30894309,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,1.33,29,1.0344827586207,30,,,,,45.86206897,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,33.66,430,1.0813953488372,465,9,,,,78.27906977,3.74,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,39.26,342,1.0555555555556,361,3,,,,114.79532164,13.08666667,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,2.76,47,1.063829787234,50,,,,,58.72340426,,,,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,108.93,1724,1.0754060324826,1854,16,1,actions:onsite_conversion.lead_grouped,108.93,63.18445476,6.808125,1,1,,,
2020-05-14,2020-05-14,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,87.69,1319,1.0917361637604,1440,7,,,,66.48218347,12.52714286,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,3.92,76,1.0526315789474,80,,,,,51.57894737,,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,7.75,80,1.1625,93,2,,,,96.875,3.875,,,,,
2020-05-13,2020-05-13,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,1.71,4,1.25,5,,,,,427.5,,,,,,
