,"cliente","Año-Mes","plataforma_abreviacion","inicio_reporte","fin_reporte","tipo_conversion","fuente_medio","Nombre_Campaña","llave_analytcis","conversiones","revenue","archivo"
2,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocial_fb / 2003_rs_mercado pago_campaña_del_mes_fb","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_FB",,2,698.55,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
3,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocial_fb / 2003_rs_mercado pago_campaña_del_mes_fb","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_FB",,13,1545,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
4,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Directa","adsocial_fb / 2003_rs_mercado pago_campaña_del_mes_fb","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_FB",,2,398,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200301-20200308.xlsx"
5,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Directa","adsocial_fb / 2003_rs_mercado pago_campaña_del_mes_fb","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_FB",,2,1218,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200317-20200324.xlsx"
6,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocial_fb / 2003_rs_mercado pago_campaña_del_mes_fb","2003_RS_MERCADO PAGO_CAMPAÑA_DEL_MES_FB",,36,2889,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
7,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocialdsp / 2003_rs_mkt_ao_dsp","2003_RS_MKT_AO_FUNKOEXCLUSIVOPICOLLO_4AL31_DSP",,1,39,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
8,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_FUNKOS_2AL31_DSP",,1,399,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
9,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_FUNKOS_2AL31_FB",,1,699,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
10,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Directa","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_FUNKOS_2AL31_FB",,1,999,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200301-20200308.xlsx"
11,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMECAMARASSEGURIDAD_4AL31_FB",,1,1199.2,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
