KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Género,Edad,Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Mujer,De entre 45 y 54 años,MXN,22.04,20,4,0.00,5.51,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Hombre,35-44,MXN,1.42,712,1,0.00,1.42,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Mujer,De entre 45 y 54 años,MXN,35.92,24,5,0.00,7.18,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Hombre,35-44,MXN,6.25,671,2,0.00,3.13,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Mujer,De entre 45 y 54 años,MXN,22.48,18,3,0.00,7.49,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Hombre,35-44,MXN,4.63,850,5,0.00,0.93,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-04,Hombre,35-44,MXN,4.18,"1,076",3,0.00,1.39,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-05,Hombre,35-44,MXN,6.72,715,5,0.00,1.34,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Mujer,De entre 45 y 54 años,MXN,33.32,29,4,0.00,8.33,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Hombre,35-44,MXN,7.28,881,6,0.00,1.21,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Hombre,35-44,MXN,5.21,"1,057",4,0.00,1.30,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Hombre,35-44,MXN,8.77,"1,077",5,0.00,1.75,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Mujer,De entre 45 y 54 años,MXN,36.83,27,5,0.00,7.37,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Hombre,35-44,MXN,3.54,712,3,0.00,1.18,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Mujer,De entre 45 y 54 años,MXN,17.77,15,2,0.00,8.88,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Hombre,35-44,MXN,4.16,934,4,0.00,1.04,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Mujer,De entre 45 y 54 años,MXN,23.67,15,3,0.00,7.89,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Hombre,35-44,MXN,11.70,"1,371",13,0.00,0.90,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Mujer,De entre 45 y 54 años,MXN,13.37,13,2,0.00,6.68,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Hombre,35-44,MXN,9.92,"1,524",10,0.00,0.99,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,Hombre,35-44,MXN,1.58,829,1,0.00,1.58,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Mujer,De entre 45 y 54 años,MXN,41.24,23,7,0.00,5.89,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Hombre,35-44,MXN,3.94,659,1,0.00,3.94,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-15,Hombre,35-44,MXN,3.74,"1,270",6,0.00,0.62,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-16,Hombre,35-44,MXN,3.94,788,4,0.00,0.98,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,Hombre,35-44,MXN,0.00,689,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Hombre,35-44,MXN,10.73,657,5,0.00,2.15,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-19,Mujer,De entre 45 y 54 años,MXN,54.33,27,8,0.00,6.79,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Hombre,35-44,MXN,4.53,"1,158",3,0.00,1.51,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Hombre,35-44,MXN,6.25,832,4,0.00,1.56,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-21,Mujer,De entre 45 y 54 años,MXN,23.74,22,4,0.00,5.94,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-21,Hombre,35-44,MXN,9.25,971,6,0.00,1.54,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-22,Hombre,35-44,MXN,7.83,648,8,0.00,0.98,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-23,Mujer,De entre 45 y 54 años,MXN,51.55,20,8,0.00,6.44,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-23,Hombre,35-44,MXN,3.98,663,2,0.00,1.99,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-24,Mujer,De entre 45 y 54 años,MXN,9.42,23,2,0.00,4.71,0.00
